GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1,552.41,1269.39,1552.34,164.38,105.15,-43.07,-1217.78,-9367.55,484.83,4213.1,-2302.7,66.08,-2286.79,-2236.61,-4523.4
2,539.65,1328.24,1562.03,172.66,79.09,-34.09,-1163.85,-9303.86,487.88,4230.14,-2354.45,70.71,-2102.12,-2283.75,-4385.86
3,565.91,1361.32,1581.08,182.75,88.8,-55.01,-1156.98,-9420.11,499.16,4236.65,-2250.73,70.9,-2116.42,-2179.82,-4296.24
4,559.64,1273.14,1560.18,169.03,92.56,-49.7,-1151.26,-9336.57,496.65,4266.38,-2349.12,70.87,-2119.95,-2278.25,-4398.2
5,539.15,1301.43,1599.48,171.63,91.39,-52.69,-1172.59,-9257.88,490.02,4213.43,-2375.45,70.66,-2076.63,-2304.79,-4381.42
6,519.46,1289.67,1580.38,166.06,89.08,-32.79,-1176.45,-9327.71,473.15,4253.63,-2368.18,71.95,-2165.52,-2296.23,-4461.75
7,579.89,1276.74,1585.51,159.25,84.31,-55.04,-1175.11,-9381.42,472.36,4231.76,-2306.78,68.74,-2221.77,-2238.04,-4459.81
8,549.7,1275.1,1573.06,157.98,92.36,-50.8,-1164.71,-9325.84,493.22,4264.59,-2354.98,72.47,-2135.33,-2282.51,-4417.84
9,533.43,1317.14,1577.65,165.53,92.27,-48.52,-1164.69,-9350.62,474.95,4239.77,-2338.87,71.96,-2163.1,-2266.91,-4430.01
10,535.67,1265.57,1574.05,163.43,96.0,-52.09,-1148.52,-9396.47,497.17,4284.69,-2303.38,70.72,-2180.5,-2232.66,-4413.15
11,563.21,1328.15,1578.08,163.97,97.43,-61.41,-1179.32,-9283.66,464.55,4248.85,-2402.79,70.08,-2080.14,-2332.71,-4412.85

Receptor Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1,548.98,1262.07,1550.3,162.25,105.15,-43.07,-1191.59,-9352.61,470.22,4200.59,-2308.64,67.87,-2287.7,-2240.76,-4528.47
2,536.21,1320.79,1556.52,171.72,79.09,-34.09,-1135.8,-9289.58,477.42,4216.9,-2358.14,72.45,-2100.82,-2285.7,-4386.52
3,560.94,1354.65,1576.84,181.26,88.8,-55.01,-1131.01,-9407.72,487.85,4224.36,-2258.37,72.49,-2119.03,-2185.88,-4304.91
4,555.48,1265.9,1554.65,167.42,92.56,-49.7,-1123.34,-9324.73,485.59,4252.29,-2354.82,72.57,-2123.88,-2282.25,-4406.13
5,536.66,1292.97,1594.89,169.61,91.39,-52.69,-1145.24,-9244.52,477.26,4199.76,-2381.82,72.44,-2079.92,-2309.38,-4389.3
6,515.13,1280.29,1576.77,164.72,89.08,-32.79,-1149.93,-9314.54,460.86,4240.71,-2375.48,73.73,-2169.72,-2301.76,-4471.48
7,569.61,1268.76,1580.84,157.1,84.31,-55.04,-1147.37,-9364.71,461.8,4219.77,-2313.79,70.55,-2224.93,-2243.24,-4468.17
8,547.67,1270.81,1568.58,157.12,92.36,-50.8,-1139.19,-9311.2,480.92,4251.97,-2361.99,74.18,-2131.75,-2287.81,-4419.57
9,526.01,1308.56,1574.8,162.54,92.27,-48.52,-1138.43,-9336.74,465.68,4226.66,-2345.31,73.69,-2167.17,-2271.62,-4438.79
10,534.13,1259.91,1570.01,162.49,96.0,-52.09,-1123.25,-9383.41,483.54,4272.13,-2309.79,72.5,-2180.53,-2237.29,-4417.83
11,553.34,1323.26,1572.44,162.64,97.43,-61.41,-1153.22,-9268.79,455.03,4236.43,-2409.86,71.86,-2082.85,-2337.99,-4420.84

Ligand Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1,3.43,7.32,2.04,2.13,0.0,0.0,-0.98,-12.11,14.61,12.51,-5.74,2.03,28.95,-3.71,25.24
2,3.44,7.45,5.51,0.94,0.0,0.0,-0.65,-13.02,10.46,13.24,-5.79,2.01,27.36,-3.78,23.58
3,4.97,6.67,4.24,1.49,0.0,0.0,-1.25,-10.33,11.31,12.29,-6.65,1.99,29.38,-4.67,24.72
4,4.16,7.24,5.53,1.61,0.0,0.0,-1.22,-11.73,11.06,14.09,-6.6,2.0,30.76,-4.6,26.16
5,2.49,8.46,4.59,2.02,0.0,0.0,-1.59,-11.43,12.76,13.67,-6.52,2.01,30.97,-4.51,26.45
6,4.33,9.38,3.61,1.34,0.0,0.0,-1.07,-11.11,12.29,12.92,-6.52,1.98,31.7,-4.54,27.16
7,10.28,7.97,4.67,2.15,0.0,0.0,-1.57,-9.94,10.56,11.99,-7.35,2.04,36.11,-5.31,30.8
8,2.03,4.28,4.49,0.87,0.0,0.0,-1.36,-10.97,12.29,12.62,-6.4,2.0,24.25,-4.4,19.85
9,7.42,8.58,2.85,2.99,0.0,0.0,-0.27,-12.14,9.27,13.11,-5.73,2.01,31.8,-3.72,28.08
10,1.54,5.66,4.04,0.94,0.0,0.0,-1.09,-10.61,13.63,12.56,-6.42,1.99,26.67,-4.43,22.24
11,9.86,4.89,5.64,1.33,0.0,0.0,0.19,-11.05,9.52,12.42,-6.03,1.96,32.82,-4.07,28.75

Delta Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1,-0.0,-0.0,0.0,-0.0,0.0,0.0,-25.21,-2.83,-0.0,-0.0,11.69,-3.82,-28.04,7.87,-20.17
2,-0.0,0.0,0.0,-0.0,0.0,0.0,-27.4,-1.26,-0.0,0.0,9.48,-3.75,-28.66,5.74,-22.93
