GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1,552.41,1269.39,1552.34,164.38,105.15,-43.07,-1217.78,-9367.55,484.83,4213.1,-2302.7,66.08,-2286.79,-2236.61,-4523.4
2,530.47,1320.65,1562.0,172.41,79.66,-33.55,-1162.48,-9304.52,487.93,4229.26,-2355.11,70.74,-2118.16,-2284.37,-4402.53
3,547.34,1356.5,1581.85,181.41,89.69,-54.95,-1157.85,-9419.89,498.64,4236.76,-2250.9,70.85,-2140.49,-2180.04,-4320.54
4,545.67,1267.61,1560.66,168.49,91.62,-49.86,-1151.74,-9335.14,495.55,4263.95,-2349.3,70.86,-2143.19,-2278.44,-4421.63
5,520.24,1294.34,1597.54,170.31,91.27,-52.02,-1173.27,-9256.28,490.43,4213.6,-2376.41,70.68,-2103.84,-2305.73,-4409.58
6,508.19,1285.05,1580.01,165.37,88.22,-33.72,-1176.66,-9330.19,473.47,4255.17,-2367.92,71.99,-2185.08,-2295.93,-4481.01
7,565.61,1267.4,1585.03,158.87,82.56,-55.01,-1175.25,-9381.39,471.26,4231.76,-2306.84,68.74,-2249.15,-2238.1,-4487.25
8,534.11,1266.11,1573.5,157.15,92.28,-51.18,-1164.38,-9325.47,493.4,4262.19,-2354.88,72.53,-2162.29,-2282.35,-4444.64
9,522.34,1308.59,1577.67,165.16,91.41,-48.43,-1165.15,-9351.28,475.26,4239.4,-2338.17,71.92,-2185.04,-2266.25,-4451.29
10,520.4,1254.99,1573.19,161.43,94.49,-51.41,-1148.94,-9394.79,495.88,4284.21,-2303.87,70.62,-2210.53,-2233.25,-4443.79
11,546.15,1322.15,1577.91,163.42,96.95,-61.95,-1179.77,-9282.68,463.72,4247.41,-2401.8,70.08,-2106.7,-2331.72,-4438.42

Receptor Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1,548.98,1262.07,1550.3,162.25,105.15,-43.07,-1191.59,-9352.61,470.22,4200.59,-2308.64,67.87,-2287.7,-2240.76,-4528.47
