GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1,7290382.93,2538.55,1554.73,1771517.71,105.15,-43.07,-1206.02,-9432.57,482.07,4236.51,-2277.34,67.63,9060136.0,-2209.7,9057926.3
2,14476108.24,2348.24,1562.46,2720681.95,95.38,-33.64,-1150.65,-9331.97,486.04,4298.78,-2389.28,73.12,17195064.82,-2316.16,17192748.66
3,21237828.38,3372.78,1596.28,3788779.68,256.78,-54.94,-1144.95,-9377.97,494.82,4278.6,-2311.34,73.09,25026029.43,-2238.25,25023791.18
4,35245502.2,4098.82,1586.67,3322539.16,1827.86,-49.74,-1134.61,-9330.96,490.4,4338.68,-2480.09,74.28,38569868.48,-2405.81,38567462.66
5,22528496.06,2766.79,1611.45,2197670.58,779.83,-51.96,-1159.94,-9195.8,487.44,4318.08,-2529.74,73.4,24725722.54,-2456.34,24723266.21
6,16626669.85,2680.89,1588.91,1953760.38,804.1,-33.84,-1161.35,-9363.55,470.94,4335.52,-2402.27,74.75,18579751.87,-2327.52,18577424.35
7,13624718.06,2286.07,1584.64,1594282.86,83.27,-54.92,-1161.13,-9445.57,467.67,4315.19,-2290.52,70.82,15217076.13,-2219.69,15214856.43
8,21593593.32,3019.64,1585.09,2974291.75,300.31,-51.22,-1150.02,-9312.35,489.38,4413.84,-2476.98,75.42,24567179.74,-2401.55,24564778.19
9,18092812.08,3072.33,1581.45,2342144.79,707.3,-48.49,-1151.89,-9361.18,471.11,4297.26,-2435.63,74.5,20434524.76,-2361.14,20432163.62
10,14510835.54,2416.1,1573.47,1125760.68,94.49,-51.51,-1137.67,-9404.45,493.72,4284.76,-2365.65,72.64,15634865.12,-2293.01,15632572.11
11,9842663.18,2536.51,1586.45,1211553.45,222.48,-61.87,-1170.12,-9284.36,462.04,4233.98,-2409.46,71.78,11052741.74,-2337.68,11050404.06

Receptor Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1,7290378.97,2535.5,1553.84,1771517.4,105.15,-43.07,-1189.16,-9432.17,470.03,4250.99,-2281.1,68.72,9060147.5,-2212.38,9057935.11
2,14476103.8,2345.13,1560.75,2720681.4,95.38,-33.64,-1131.99,-9333.33,476.73,4312.7,-2391.12,74.22,17195076.92,-2316.91,17192760.02
3,21237823.07,3367.78,1596.02,3788778.77,256.78,-54.94,-1128.42,-9378.6,485.22,4292.99,-2314.59,74.08,25026038.68,-2240.51,25023798.17
4,35245498.14,4094.41,1584.44,3322538.58,1827.86,-49.74,-1115.57,-9333.3,480.76,4352.57,-2482.16,75.37,38569878.15,-2406.8,38567471.35
5,22528493.18,2763.04,1606.27,2197669.98,779.83,-51.96,-1142.05,-9196.25,475.94,4332.16,-2532.73,74.53,24725730.15,-2458.2,24723271.94
6,16626665.11,2676.0,1586.08,1953759.87,804.1,-33.84,-1143.69,-9364.4,460.09,4349.77,-2405.28,75.81,18579759.09,-2329.47,18577429.62
7,13624708.01,2280.66,1582.5,1594281.48,83.27,-54.92,-1143.4,-9440.83,458.28,4328.41,-2294.38,71.93,15217083.45,-2222.44,15214861.01
8,21593590.53,3016.25,1578.37,2974291.49,300.31,-51.22,-1132.87,-9310.58,477.98,4428.11,-2480.38,76.46,24567188.38,-2403.92,24564784.46
